,relation
0,issue_in
1,complicates
2,affects
3,isa
4,interacts_with
5,assesses_effect_of
6,precedes
7,location_of
8,produces
9,process_of
10,associated_with
11,occurs_in
12,degree_of
13,part_of
14,manifestation_of
15,causes
16,treats
17,result_of
18,property_of
19,performs
20,evaluation_of
21,co-occurs_with
22,measures
23,disrupts
24,uses
25,analyzes
26,diagnoses
27,manages
28,contains
29,exhibits
30,method_of
31,ingredient_of
32,measurement_of
33,prevents
34,carries_out
35,adjacent_to
36,indicates
37,conceptual_part_of
38,connected_to
39,surrounds
40,interconnects
41,consists_of
42,practices
43,developmental_form_of
44,conceptually_related_to
45,derivative_of
