,relation
0,measures
1,associated_with
2,interacts_with
3,analyzes
4,evaluation_of
5,affects
6,performs
7,derivative_of
8,result_of
9,isa
10,degree_of
11,location_of
12,prevents
13,process_of
14,causes
15,occurs_in
16,diagnoses
17,manifestation_of
18,produces
19,treats
20,manages
21,part_of
22,issue_in
23,complicates
24,connected_to
25,disrupts
26,uses
27,assesses_effect_of
28,precedes
29,property_of
30,co-occurs_with
31,contains
32,exhibits
33,method_of
34,measurement_of
35,carries_out
36,adjacent_to
37,indicates
38,ingredient_of
39,conceptual_part_of
40,surrounds
41,interconnects
42,consists_of
43,developmental_form_of
44,conceptually_related_to
45,practices
