,relation
0,produces
1,manifestation_of
2,isa
3,interacts_with
4,issue_in
5,location_of
6,process_of
7,affects
8,complicates
9,prevents
10,manages
11,evaluation_of
12,associated_with
13,measures
14,treats
15,disrupts
16,performs
17,part_of
18,causes
19,result_of
20,occurs_in
21,indicates
22,precedes
23,uses
24,surrounds
25,diagnoses
26,conceptually_related_to
27,consists_of
28,exhibits
29,method_of
30,derivative_of
31,degree_of
32,measurement_of
33,connected_to
34,co-occurs_with
35,assesses_effect_of
36,analyzes
37,carries_out
38,contains
39,conceptual_part_of
40,property_of
41,developmental_form_of
42,ingredient_of
43,adjacent_to
44,practices
45,interconnects
