,relation
0,uses
1,isa
2,affects
3,process_of
4,evaluation_of
5,location_of
6,diagnoses
7,issue_in
8,interacts_with
9,indicates
10,result_of
11,associated_with
12,manifestation_of
13,produces
14,method_of
15,part_of
16,co-occurs_with
17,prevents
18,assesses_effect_of
19,causes
20,measurement_of
21,manages
22,precedes
23,measures
24,complicates
25,performs
26,carries_out
27,disrupts
28,conceptually_related_to
29,property_of
30,analyzes
31,occurs_in
32,exhibits
33,developmental_form_of
34,consists_of
35,ingredient_of
36,connected_to
37,treats
38,degree_of
39,conceptual_part_of
40,contains
41,adjacent_to
42,surrounds
43,derivative_of
44,practices
45,interconnects
