,relation
0,interacts_with
1,associated_with
2,result_of
3,precedes
4,location_of
5,uses
6,isa
7,conceptual_part_of
8,causes
9,part_of
10,issue_in
11,co-occurs_with
12,manifestation_of
13,measures
14,developmental_form_of
15,analyzes
16,diagnoses
17,exhibits
18,process_of
19,affects
20,produces
21,conceptually_related_to
22,complicates
23,evaluation_of
24,disrupts
25,ingredient_of
26,performs
27,assesses_effect_of
28,method_of
29,degree_of
30,indicates
31,prevents
32,consists_of
33,carries_out
34,occurs_in
35,surrounds
36,measurement_of
37,property_of
38,treats
39,contains
40,derivative_of
41,adjacent_to
42,connected_to
43,interconnects
44,manages
45,practices
