,relation
0,interacts_with
1,analyzes
2,result_of
3,isa
4,conceptually_related_to
5,process_of
6,evaluation_of
7,exhibits
8,causes
9,manages
10,developmental_form_of
11,affects
12,precedes
13,ingredient_of
14,associated_with
15,indicates
16,location_of
17,adjacent_to
18,co-occurs_with
19,produces
20,measurement_of
21,disrupts
22,part_of
23,carries_out
24,method_of
25,assesses_effect_of
26,prevents
27,contains
28,degree_of
29,conceptual_part_of
30,issue_in
31,practices
32,measures
33,consists_of
34,treats
35,occurs_in
36,manifestation_of
37,diagnoses
38,performs
39,uses
40,complicates
41,surrounds
42,interconnects
43,derivative_of
44,property_of
45,connected_to
