,relation
0,adjacent_to
1,adjacent_to_inverse
2,affects
3,affects_inverse
4,affects_inverse_inverse
5,analyzes
6,analyzes_inverse
7,analyzes_inverse_inverse
8,assesses_effect_of
9,assesses_effect_of_inverse
10,associated_with
11,associated_with_inverse
12,carries_out
13,carries_out_inverse
14,carries_out_inverse_inverse
15,causes
16,causes_inverse
17,co-occurs_with
18,co-occurs_with_inverse
19,co-occurs_with_inverse_inverse
20,complicates
21,complicates_inverse
22,complicates_inverse_inverse
23,conceptual_part_of
24,conceptual_part_of_inverse
25,conceptual_part_of_inverse_inverse
26,conceptually_related_to
27,conceptually_related_to_inverse
28,connected_to
29,connected_to_inverse
30,consists_of
31,consists_of_inverse
32,contains
33,contains_inverse
34,degree_of
35,degree_of_inverse
36,derivative_of
37,derivative_of_inverse
38,developmental_form_of
39,developmental_form_of_inverse
40,diagnoses
41,diagnoses_inverse
42,disrupts
43,disrupts_inverse
44,evaluation_of
45,evaluation_of_inverse
46,exhibits
47,exhibits_inverse
48,exhibits_inverse_inverse
49,indicates
50,indicates_inverse
51,indicates_inverse_inverse
52,ingredient_of
53,ingredient_of_inverse
54,interacts_with
55,interacts_with_inverse
56,interconnects
57,interconnects_inverse
58,isa
59,isa_inverse
60,isa_inverse_inverse
61,issue_in
62,issue_in_inverse
63,location_of
64,location_of_inverse
65,manages
66,manages_inverse
67,manifestation_of
68,manifestation_of_inverse
69,measurement_of
70,measurement_of_inverse
71,measurement_of_inverse_inverse
72,measures
73,measures_inverse
74,measures_inverse_inverse
75,method_of
76,method_of_inverse
77,occurs_in
78,occurs_in_inverse
79,part_of
80,part_of_inverse
81,performs
82,performs_inverse
83,practices
84,practices_inverse
85,precedes
86,precedes_inverse
87,prevents
88,prevents_inverse
89,prevents_inverse_inverse
90,process_of
91,process_of_inverse
92,process_of_inverse_inverse
93,produces
94,produces_inverse
95,property_of
96,property_of_inverse
97,result_of
98,result_of_inverse
99,surrounds
100,surrounds_inverse
101,treats
102,treats_inverse
103,uses
104,uses_inverse
