,relation
0,assesses_effect_of
1,affects
2,interacts_with
3,complicates
4,issue_in
5,associated_with
6,isa
7,measures
8,causes
9,location_of
10,co-occurs_with
11,result_of
12,occurs_in
13,disrupts
14,consists_of
15,process_of
16,exhibits
17,part_of
18,produces
19,analyzes
20,ingredient_of
21,performs
22,diagnoses
23,precedes
24,degree_of
25,property_of
26,manifestation_of
27,evaluation_of
28,uses
29,treats
30,measurement_of
31,manages
32,prevents
33,conceptual_part_of
34,carries_out
35,adjacent_to
36,indicates
37,method_of
38,surrounds
39,practices
40,developmental_form_of
41,contains
42,connected_to
43,interconnects
44,conceptually_related_to
45,derivative_of
