,relation
0,analyzes
1,ingredient_of
2,associated_with
3,prevents
4,produces
5,issue_in
6,occurs_in
7,degree_of
8,location_of
9,indicates
10,interacts_with
11,treats
12,developmental_form_of
13,affects
14,consists_of
15,method_of
16,result_of
17,adjacent_to
18,evaluation_of
19,disrupts
20,manifestation_of
21,complicates
22,causes
23,measures
24,isa
25,interconnects
26,part_of
27,connected_to
28,surrounds
29,process_of
30,manages
31,practices
32,precedes
33,assesses_effect_of
34,conceptually_related_to
35,performs
36,uses
37,carries_out
38,property_of
39,derivative_of
40,measurement_of
41,exhibits
42,conceptual_part_of
43,contains
44,diagnoses
45,co-occurs_with
