,relation
0,evaluation_of
1,causes
2,location_of
3,associated_with
4,affects
5,manifestation_of
6,property_of
7,measurement_of
8,complicates
9,part_of
10,result_of
11,issue_in
12,assesses_effect_of
13,interacts_with
14,isa
15,process_of
16,diagnoses
17,performs
18,degree_of
19,measures
20,disrupts
21,manages
22,co-occurs_with
23,prevents
24,carries_out
25,produces
26,occurs_in
27,method_of
28,adjacent_to
29,precedes
30,indicates
31,treats
32,analyzes
33,uses
34,ingredient_of
35,conceptual_part_of
36,contains
37,connected_to
38,surrounds
39,interconnects
40,exhibits
41,practices
42,consists_of
43,developmental_form_of
44,conceptually_related_to
45,derivative_of
