,relation
0,result_of
1,location_of
2,isa
3,produces
4,measures
5,causes
6,complicates
7,affects
8,interacts_with
9,part_of
10,precedes
11,disrupts
12,manifestation_of
13,associated_with
14,property_of
15,prevents
16,developmental_form_of
17,carries_out
18,process_of
19,evaluation_of
20,performs
21,issue_in
22,diagnoses
23,assesses_effect_of
24,occurs_in
25,treats
26,adjacent_to
27,degree_of
28,uses
29,indicates
30,ingredient_of
31,conceptual_part_of
32,contains
33,analyzes
34,measurement_of
35,connected_to
36,method_of
37,surrounds
38,interconnects
39,exhibits
40,co-occurs_with
41,manages
42,derivative_of
43,consists_of
44,conceptually_related_to
45,practices
