,relation
0,manifestation_of
1,causes
2,issue_in
3,interacts_with
4,associated_with
5,complicates
6,process_of
7,treats
8,affects
9,isa
10,result_of
11,property_of
12,performs
13,part_of
14,produces
15,evaluation_of
16,co-occurs_with
17,measures
18,disrupts
19,occurs_in
20,uses
21,analyzes
22,diagnoses
23,manages
24,contains
25,precedes
26,location_of
27,exhibits
28,method_of
29,measurement_of
30,assesses_effect_of
31,degree_of
32,prevents
33,carries_out
34,adjacent_to
35,indicates
36,ingredient_of
37,conceptual_part_of
38,connected_to
39,surrounds
40,interconnects
41,consists_of
42,conceptually_related_to
43,developmental_form_of
44,practices
45,derivative_of
