,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,uses
7,location_of
8,measurement_of
9,part_of
10,causes
11,degree_of
12,affects
13,interacts_with
14,result_of
15,contains
16,co-occurs_with
17,measures
18,indicates
19,issue_in
20,diagnoses
21,conceptual_part_of
22,complicates
23,evaluation_of
24,occurs_in
25,method_of
26,associated_with
27,practices
28,precedes
29,ingredient_of
30,manifestation_of
31,analyzes
32,carries_out
33,treats
34,assesses_effect_of
35,prevents
36,exhibits
37,conceptually_related_to
38,surrounds
39,derivative_of
40,developmental_form_of
41,interconnects
42,connected_to
43,manages
44,adjacent_to
45,consists_of
