,relation
0,affects
1,method_of
2,location_of
3,isa
4,occurs_in
5,interconnects
6,evaluation_of
7,causes
8,complicates
9,indicates
10,practices
11,measurement_of
12,assesses_effect_of
13,treats
14,precedes
15,exhibits
16,prevents
17,diagnoses
18,ingredient_of
19,performs
20,manages
21,disrupts
22,interacts_with
23,degree_of
24,property_of
25,produces
26,derivative_of
27,connected_to
28,issue_in
29,uses
30,adjacent_to
31,part_of
32,conceptual_part_of
33,result_of
34,co-occurs_with
35,associated_with
36,contains
37,manifestation_of
38,process_of
39,conceptually_related_to
40,analyzes
41,surrounds
42,consists_of
43,measures
44,developmental_form_of
45,carries_out
