,entity
0,food
1,cell_or_molecular_dysfunction
2,finding
3,bacterium
4,body_space_or_junction
5,congenital_abnormality
6,organism_function
7,injury_or_poisoning
8,eicosanoid
9,acquired_abnormality
10,gene_or_genome
11,amino_acid_peptide_or_protein
12,research_device
13,alga
14,body_part_organ_or_organ_component
15,molecular_function
16,anatomical_structure
17,pathologic_function
18,health_care_activity
19,experimental_model_of_disease
20,cell
21,inorganic_chemical
22,animal
23,tissue
24,disease_or_syndrome
25,group
26,individual_behavior
27,physiologic_function
28,neoplastic_process
29,patient_or_disabled_group
30,mental_or_behavioral_dysfunction
31,mental_process
32,plant
33,steroid
34,pharmacologic_substance
35,organ_or_tissue_function
36,biologically_active_substance
37,cell_function
38,therapeutic_or_preventive_procedure
39,chemical_viewed_structurally
40,laboratory_procedure
41,sign_or_symptom
42,hazardous_or_poisonous_substance
43,reptile
44,population_group
45,genetic_function
46,enzyme
47,professional_society
48,bird
49,anatomical_abnormality
50,geographic_area
51,neuroreactive_substance_or_biogenic_amine
52,chemical_viewed_functionally
53,hormone
54,carbohydrate
55,immunologic_factor
56,biologic_function
57,antibiotic
58,lipid
59,phenomenon_or_process
60,clinical_attribute
61,organophosphorus_compound
62,element_ion_or_isotope
63,professional_or_occupational_group
64,cell_component
65,body_substance
66,family_group
67,health_care_related_organization
68,nucleic_acid_nucleoside_or_nucleotide
69,vitamin
70,diagnostic_procedure
71,organism_attribute
72,receptor
73,social_behavior
74,molecular_biology_research_technique
75,organic_chemical
76,mammal
77,temporal_concept
78,self_help_or_relief_organization
79,molecular_sequence
80,qualitative_concept
81,vertebrate
82,virus
83,substance
84,organism
85,invertebrate
86,chemical
87,biomedical_or_dental_material
88,human_caused_phenomenon_or_process
89,research_activity
90,natural_phenomenon_or_process
91,medical_device
92,body_location_or_region
93,laboratory_or_test_result
94,fully_formed_anatomical_structure
95,machine_activity
96,embryonic_structure
97,daily_or_recreational_activity
98,behavior
99,indicator_reagent_or_diagnostic_aid
100,manufactured_object
101,regulation_or_law
102,biomedical_occupation_or_discipline
103,educational_activity
104,amino_acid_sequence
105,organization
106,age_group
107,group_attribute
108,rickettsia_or_chlamydia
109,drug_delivery_device
110,occupational_activity
111,classification
112,fish
113,environmental_effect_of_humans
114,amphibian
115,functional_concept
116,clinical_drug
117,human
118,fungus
119,idea_or_concept
120,governmental_or_regulatory_activity
121,activity
122,conceptual_entity
123,archaeon
124,language
125,carbohydrate_sequence
126,body_system
127,intellectual_product
128,entity
129,spatial_concept
130,occupation_or_discipline
131,nucleotide_sequence
132,quantitative_concept
133,physical_object
134,event
