,relation
0,result_of
1,complicates
2,affects
3,isa
4,part_of
5,interacts_with
6,disrupts
7,associated_with
8,prevents
9,causes
10,process_of
11,issue_in
12,produces
13,performs
14,indicates
15,manifestation_of
16,surrounds
17,assesses_effect_of
18,evaluation_of
19,measures
20,location_of
21,analyzes
22,degree_of
23,uses
24,measurement_of
25,treats
26,exhibits
27,precedes
28,connected_to
29,diagnoses
30,adjacent_to
31,carries_out
32,contains
33,derivative_of
34,occurs_in
35,method_of
36,conceptual_part_of
37,property_of
38,interconnects
39,consists_of
40,co-occurs_with
41,manages
42,ingredient_of
43,practices
44,developmental_form_of
45,conceptually_related_to
