,relation
0,adjacent_to
1,adjacent_to_inverse
2,affects
3,affects_inverse
4,analyzes
5,analyzes_inverse
6,assesses_effect_of
7,assesses_effect_of_inverse
8,associated_with
9,associated_with_inverse
10,carries_out
11,carries_out_inverse
12,causes
13,causes_inverse
14,co-occurs_with
15,co-occurs_with_inverse
16,complicates
17,complicates_inverse
18,conceptual_part_of
19,conceptual_part_of_inverse
20,conceptually_related_to
21,conceptually_related_to_inverse
22,connected_to
23,connected_to_inverse
24,consists_of
25,consists_of_inverse
26,contains
27,contains_inverse
28,degree_of
29,degree_of_inverse
30,derivative_of
31,derivative_of_inverse
32,developmental_form_of
33,developmental_form_of_inverse
34,diagnoses
35,diagnoses_inverse
36,disrupts
37,disrupts_inverse
38,evaluation_of
39,evaluation_of_inverse
40,exhibits
41,exhibits_inverse
42,indicates
43,indicates_inverse
44,ingredient_of
45,ingredient_of_inverse
46,interacts_with
47,interacts_with_inverse
48,interconnects
49,interconnects_inverse
50,isa
51,isa_inverse
52,issue_in
53,issue_in_inverse
54,location_of
55,location_of_inverse
56,manages
57,manages_inverse
58,manifestation_of
59,manifestation_of_inverse
60,measurement_of
61,measurement_of_inverse
62,measures
63,measures_inverse
64,method_of
65,method_of_inverse
66,occurs_in
67,occurs_in_inverse
68,part_of
69,part_of_inverse
70,performs
71,performs_inverse
72,practices
73,practices_inverse
74,precedes
75,precedes_inverse
76,prevents
77,prevents_inverse
78,process_of
79,process_of_inverse
80,produces
81,produces_inverse
82,property_of
83,property_of_inverse
84,result_of
85,result_of_inverse
86,surrounds
87,surrounds_inverse
88,treats
89,treats_inverse
90,uses
91,uses_inverse
