,relation
0,disrupts
1,interacts_with
2,associated_with
3,result_of
4,process_of
5,affects
6,isa
7,part_of
8,produces
9,manifestation_of
10,performs
11,causes
12,issue_in
13,uses
14,complicates
15,occurs_in
16,measures
17,evaluation_of
18,precedes
19,indicates
20,carries_out
21,measurement_of
22,exhibits
23,prevents
24,co-occurs_with
25,degree_of
26,location_of
27,analyzes
28,diagnoses
29,method_of
30,interconnects
31,conceptually_related_to
32,treats
33,contains
34,ingredient_of
35,property_of
36,surrounds
37,derivative_of
38,assesses_effect_of
39,manages
40,conceptual_part_of
41,adjacent_to
42,developmental_form_of
43,connected_to
44,consists_of
45,practices
