,relation
0,complicates
1,causes
2,associated_with
3,affects
4,isa
5,diagnoses
6,precedes
7,degree_of
8,disrupts
9,part_of
10,process_of
11,interacts_with
12,evaluation_of
13,location_of
14,assesses_effect_of
15,performs
16,measures
17,produces
18,manifestation_of
19,analyzes
20,exhibits
21,practices
22,occurs_in
23,result_of
24,co-occurs_with
25,prevents
26,method_of
27,conceptual_part_of
28,connected_to
29,treats
30,uses
31,measurement_of
32,ingredient_of
33,issue_in
34,contains
35,developmental_form_of
36,manages
37,property_of
38,consists_of
39,carries_out
40,indicates
41,adjacent_to
42,surrounds
43,conceptually_related_to
44,interconnects
45,derivative_of
