,relation
0,produces
1,manifestation_of
2,isa
3,interacts_with
4,issue_in
5,location_of
6,process_of
7,affects
8,complicates
9,prevents
10,manages
11,evaluation_of
12,associated_with
13,measures
14,degree_of
15,disrupts
16,performs
17,part_of
18,causes
19,result_of
20,occurs_in
21,carries_out
22,precedes
23,uses
24,assesses_effect_of
25,diagnoses
26,surrounds
27,consists_of
28,exhibits
29,conceptually_related_to
30,connected_to
31,treats
32,co-occurs_with
33,analyzes
34,indicates
35,contains
36,method_of
37,measurement_of
38,conceptual_part_of
39,property_of
40,developmental_form_of
41,practices
42,ingredient_of
43,derivative_of
44,adjacent_to
45,interconnects
