,relation
0,location_of
1,performs
2,affects
3,result_of
4,complicates
5,associated_with
6,produces
7,isa
8,indicates
9,part_of
10,interacts_with
11,diagnoses
12,evaluation_of
13,process_of
14,issue_in
15,degree_of
16,causes
17,uses
18,occurs_in
19,treats
20,prevents
21,disrupts
22,manifestation_of
23,assesses_effect_of
24,carries_out
25,measurement_of
26,exhibits
27,measures
28,precedes
29,analyzes
30,property_of
31,manages
32,ingredient_of
33,conceptual_part_of
34,consists_of
35,surrounds
36,contains
37,method_of
38,co-occurs_with
39,adjacent_to
40,conceptually_related_to
41,practices
42,connected_to
43,developmental_form_of
44,interconnects
45,derivative_of
