,relation
0,interacts_with
1,isa
2,produces
3,affects
4,location_of
5,manifestation_of
6,disrupts
7,diagnoses
8,result_of
9,process_of
10,treats
11,method_of
12,co-occurs_with
13,associated_with
14,complicates
15,performs
16,assesses_effect_of
17,issue_in
18,causes
19,indicates
20,part_of
21,manages
22,uses
23,degree_of
24,precedes
25,measurement_of
26,carries_out
27,conceptual_part_of
28,measures
29,adjacent_to
30,property_of
31,prevents
32,evaluation_of
33,exhibits
34,analyzes
35,occurs_in
36,ingredient_of
37,conceptually_related_to
38,interconnects
39,practices
40,surrounds
41,consists_of
42,contains
43,connected_to
44,developmental_form_of
45,derivative_of
