,relation
0,interacts_with
1,produces
2,affects
3,disrupts
4,diagnoses
5,result_of
6,location_of
7,process_of
8,treats
9,method_of
10,co-occurs_with
11,associated_with
12,complicates
13,performs
14,assesses_effect_of
15,manifestation_of
16,issue_in
17,causes
18,indicates
19,part_of
20,isa
21,manages
22,uses
23,degree_of
24,precedes
25,measurement_of
26,carries_out
27,conceptual_part_of
28,measures
29,adjacent_to
30,property_of
31,prevents
32,evaluation_of
33,exhibits
34,analyzes
35,occurs_in
36,consists_of
37,ingredient_of
38,conceptually_related_to
39,interconnects
40,practices
41,surrounds
42,contains
43,connected_to
44,developmental_form_of
45,derivative_of
