,relation
0,affects
1,complicates
2,isa
3,evaluation_of
4,interacts_with
5,connected_to
6,occurs_in
7,process_of
8,disrupts
9,causes
10,result_of
11,part_of
12,issue_in
13,produces
14,location_of
15,performs
16,uses
17,assesses_effect_of
18,precedes
19,associated_with
20,degree_of
21,manifestation_of
22,treats
23,property_of
24,co-occurs_with
25,measures
26,analyzes
27,diagnoses
28,manages
29,contains
30,interconnects
31,exhibits
32,measurement_of
33,prevents
34,carries_out
35,adjacent_to
36,indicates
37,ingredient_of
38,conceptual_part_of
39,method_of
40,surrounds
41,consists_of
42,conceptually_related_to
43,practices
44,developmental_form_of
45,derivative_of
