,relation
0,treats
1,manifestation_of
2,complicates
3,issue_in
4,location_of
5,interacts_with
6,result_of
7,produces
8,precedes
9,part_of
10,degree_of
11,conceptually_related_to
12,process_of
13,associated_with
14,causes
15,uses
16,measures
17,ingredient_of
18,performs
19,conceptual_part_of
20,affects
21,contains
22,assesses_effect_of
23,occurs_in
24,measurement_of
25,disrupts
26,isa
27,connected_to
28,property_of
29,evaluation_of
30,carries_out
31,method_of
32,adjacent_to
33,surrounds
34,interconnects
35,analyzes
36,diagnoses
37,exhibits
38,co-occurs_with
39,derivative_of
40,prevents
41,indicates
42,manages
43,consists_of
44,developmental_form_of
45,practices
