,relation
0,affects
1,measures
2,interacts_with
3,result_of
4,manifestation_of
5,issue_in
6,part_of
7,treats
8,evaluation_of
9,consists_of
10,occurs_in
11,precedes
12,location_of
13,assesses_effect_of
14,property_of
15,conceptually_related_to
16,produces
17,manages
18,exhibits
19,developmental_form_of
20,isa
21,carries_out
22,measurement_of
23,complicates
24,surrounds
25,causes
26,ingredient_of
27,process_of
28,uses
29,performs
30,disrupts
31,degree_of
32,indicates
33,associated_with
34,contains
35,method_of
36,practices
37,conceptual_part_of
38,interconnects
39,adjacent_to
40,derivative_of
41,analyzes
42,co-occurs_with
43,diagnoses
44,connected_to
45,prevents
