,relation
0,associated_with
1,result_of
2,affects
3,interacts_with
4,treats
5,causes
6,location_of
7,part_of
8,complicates
9,process_of
10,issue_in
11,contains
12,isa
13,manifestation_of
14,exhibits
15,measurement_of
16,precedes
17,analyzes
18,disrupts
19,performs
20,indicates
21,produces
22,measures
23,evaluation_of
24,degree_of
25,connected_to
26,occurs_in
27,assesses_effect_of
28,co-occurs_with
29,carries_out
30,consists_of
31,ingredient_of
32,uses
33,derivative_of
34,property_of
35,diagnoses
36,method_of
37,prevents
38,conceptual_part_of
39,adjacent_to
40,surrounds
41,practices
42,interconnects
43,developmental_form_of
44,manages
45,conceptually_related_to
