,relation
0,manifestation_of
1,causes
2,issue_in
3,interacts_with
4,associated_with
5,complicates
6,process_of
7,treats
8,affects
9,isa
10,result_of
11,property_of
12,performs
13,part_of
14,produces
15,evaluation_of
16,co-occurs_with
17,measures
18,disrupts
19,occurs_in
20,uses
21,analyzes
22,diagnoses
23,manages
24,contains
25,precedes
26,location_of
27,exhibits
28,method_of
29,measurement_of
30,assesses_effect_of
31,degree_of
32,prevents
33,carries_out
34,adjacent_to
35,indicates
36,practices
37,surrounds
38,ingredient_of
39,conceptual_part_of
40,connected_to
41,interconnects
42,consists_of
43,conceptually_related_to
44,developmental_form_of
45,derivative_of
