h,r,t,score,edge_betweenness_dir,edge_degree_centrality_dir,node_degree_avg_dir,h_in_degree,h_out_degree,t_in_degree,t_out_degree,edge_betweenness_undir,edge_degree_centrality_undir,node_degree_avg_undir
acquired_abnormality,location_of,experimental_model_of_disease,0.6807181239128113,2.502347761938,242,122.0,68,50,76,50,0.0,195,98.5
anatomical_abnormality,manifestation_of,physiologic_function,0.7604454159736633,4.219389615596536,227,114.5,69,51,61,48,0.0,179,90.5
alga,isa,entity,0.7177150845527649,1.6885569917185523,124,63.0,25,21,78,2,0.0,122,62.0
mental_or_behavioral_dysfunction,affects,experimental_model_of_disease,0.6951779723167419,3.647450443943915,262,132.0,85,53,76,50,0.0,192,97.0
health_care_activity,associated_with,anatomical_abnormality,0.7239253520965576,12.287950478011894,156,79.0,17,21,69,51,0.0,127,64.5
population_group,interacts_with,age_group,0.4123487174510956,2.4968156843156843,89,45.5,15,37,15,24,0.0,74,38.0
clinical_attribute,result_of,natural_phenomenon_or_process,0.5540122389793396,3.429453282153133,123,62.5,25,36,43,21,0.0,93,47.5
body_part_organ_or_organ_component,location_of,biologic_function,0.5239397287368774,1.9284579690462043,170,86.0,15,53,59,45,0.0,138,70.0
biologically_active_substance,complicates,anatomical_abnormality,0.8202199339866638,7.686463356950133,193,97.5,37,38,69,51,0.0,154,78.0
disease_or_syndrome,result_of,acquired_abnormality,0.44631052017211914,3.3869456722568843,255,128.5,79,60,68,50,0.0,197,99.5
carbohydrate,interacts_with,vitamin,0.7633274793624878,2.9075454974728068,126,64.0,14,38,39,37,0.0,111,56.5
molecular_sequence,isa,spatial_concept,0.12687063217163086,2.2,18,10.0,2,5,8,5,0.0,18,10.0
steroid,affects,mental_process,0.8240930438041687,4.660870769014472,172,87.0,16,37,71,50,0.0,141,71.5
experimental_model_of_disease,occurs_in,professional_or_occupational_group,0.6362395882606506,89.79442200546326,168,85.0,76,50,11,33,0.0,133,67.5
patient_or_disabled_group,uses,clinical_drug,0.8044549822807312,7.906512863168578,84,43.0,19,25,30,12,0.0,80,41.0
professional_or_occupational_group,produces,clinical_drug,0.6457439064979553,5.15771315944252,84,43.0,11,33,30,12,0.0,78,40.0
nucleic_acid_nucleoside_or_nucleotide,isa,chemical_viewed_structurally,0.5367245674133301,3.5658074029522884,103,52.5,10,42,13,40,0.0,95,48.5
organism_function,degree_of,mental_process,0.3118663430213928,1.850622562388261,232,117.0,65,48,71,50,0.0,178,90.0
steroid,affects,cell_or_molecular_dysfunction,0.7039832472801208,8.427968102032848,190,96.0,16,37,79,60,0.0,146,74.0
body_part_organ_or_organ_component,connected_to,body_substance,0.42945876717567444,2.3018090134434614,119,60.5,15,53,26,27,0.0,103,52.5
mental_process,result_of,human_caused_phenomenon_or_process,0.4270917773246765,18.147716349652345,149,75.5,71,50,14,16,0.0,110,56.0
experimental_model_of_disease,process_of,archaeon,0.6963305473327637,7.014040761530413,163,82.5,76,50,34,5,0.0,134,68.0
therapeutic_or_preventive_procedure,affects,organ_or_tissue_function,0.6559209227561951,8.030785739454458,166,84.0,28,28,65,47,0.0,130,66.0
carbohydrate,interacts_with,pharmacologic_substance,0.45412927865982056,7.627885773175523,108,55.0,14,38,14,44,0.0,106,54.0
cell_function,co-occurs_with,physiologic_function,0.4608387053012848,1.8689688077523225,220,111.0,64,49,61,48,0.0,167,84.5
pathologic_function,process_of,physiologic_function,0.8648032546043396,3.4700553979807465,245,123.5,77,61,61,48,0.0,183,92.5
mental_or_behavioral_dysfunction,result_of,anatomical_abnormality,0.579576849937439,5.45294457885109,256,129.0,85,53,69,51,0.0,192,97.0
organ_or_tissue_function,process_of,cell_function,0.62000972032547,1.383126084441874,223,112.5,65,47,64,49,0.0,168,85.0
enzyme,disrupts,fully_formed_anatomical_structure,0.614307165145874,14.940484730308823,135,68.5,41,37,18,41,0.0,112,57.0
nucleic_acid_nucleoside_or_nucleotide,affects,physiologic_function,0.8658633828163147,3.149831118538212,159,80.5,10,42,61,48,0.0,133,67.5
cell,produces,amino_acid_peptide_or_protein,0.6860671043395996,6.635462386107044,117,59.5,14,53,14,38,0.0,110,56.0
cell_component,location_of,cell_function,0.5870680212974548,1.9320154593714751,175,88.5,12,52,64,49,0.0,138,70.0
cell_or_molecular_dysfunction,process_of,mental_process,0.6477466225624084,3.7045796793639445,258,130.0,79,60,71,50,0.0,187,94.5
hormone,affects,cell_function,0.854487955570221,3.4897761905812716,180,91.0,35,34,64,49,0.0,140,71.0
organic_chemical,affects,experimental_model_of_disease,0.6226204037666321,5.305447618769364,176,89.0,14,38,76,50,0.0,143,72.5
mental_process,affects,archaeon,0.6070578098297119,13.18276755529605,158,80.0,71,50,34,5,0.0,129,65.5
