,relation
0,location_of
1,manifestation_of
2,isa
3,affects
4,associated_with
5,interacts_with
6,result_of
7,complicates
8,occurs_in
9,uses
10,produces
11,degree_of
12,connected_to
13,process_of
14,co-occurs_with
15,disrupts
16,issue_in
17,part_of
18,measures
19,prevents
20,causes
21,indicates
22,treats
23,evaluation_of
24,diagnoses
25,exhibits
26,ingredient_of
27,property_of
28,manages
29,assesses_effect_of
30,method_of
31,measurement_of
32,precedes
33,consists_of
34,performs
35,conceptual_part_of
36,analyzes
37,carries_out
38,developmental_form_of
39,contains
40,adjacent_to
41,interconnects
42,conceptually_related_to
43,surrounds
44,derivative_of
45,practices
46,location_of_inverse
47,manifestation_of_inverse
48,isa_inverse
49,affects_inverse
50,associated_with_inverse
51,interacts_with_inverse
52,result_of_inverse
53,complicates_inverse
54,occurs_in_inverse
55,uses_inverse
56,produces_inverse
57,degree_of_inverse
58,connected_to_inverse
59,process_of_inverse
60,co-occurs_with_inverse
61,disrupts_inverse
62,issue_in_inverse
63,part_of_inverse
64,measures_inverse
65,prevents_inverse
66,causes_inverse
67,indicates_inverse
68,treats_inverse
69,evaluation_of_inverse
70,diagnoses_inverse
71,exhibits_inverse
72,ingredient_of_inverse
73,property_of_inverse
74,manages_inverse
75,assesses_effect_of_inverse
76,method_of_inverse
77,measurement_of_inverse
78,precedes_inverse
79,consists_of_inverse
80,performs_inverse
81,conceptual_part_of_inverse
82,analyzes_inverse
83,carries_out_inverse
84,developmental_form_of_inverse
85,contains_inverse
86,adjacent_to_inverse
87,interconnects_inverse
88,conceptually_related_to_inverse
89,surrounds_inverse
90,derivative_of_inverse
91,practices_inverse
