,relation
0,part_of
1,co-occurs_with
2,interacts_with
3,disrupts
4,affects
5,result_of
6,associated_with
7,precedes
8,location_of
9,uses
10,isa
11,causes
12,issue_in
13,manifestation_of
14,measures
15,method_of
16,analyzes
17,diagnoses
18,exhibits
19,process_of
20,produces
21,conceptually_related_to
22,complicates
23,evaluation_of
24,performs
25,developmental_form_of
26,assesses_effect_of
27,degree_of
28,indicates
29,prevents
30,consists_of
31,carries_out
32,occurs_in
33,surrounds
34,interconnects
35,measurement_of
36,ingredient_of
37,property_of
38,treats
39,contains
40,conceptual_part_of
41,adjacent_to
42,connected_to
43,manages
44,practices
45,derivative_of
