,relation
0,produces
1,affects
2,measures
3,evaluation_of
4,result_of
5,property_of
6,performs
7,process_of
8,complicates
9,isa
10,part_of
11,causes
12,disrupts
13,interacts_with
14,issue_in
15,manifestation_of
16,occurs_in
17,associated_with
18,diagnoses
19,adjacent_to
20,precedes
21,location_of
22,indicates
23,prevents
24,carries_out
25,assesses_effect_of
26,treats
27,degree_of
28,uses
29,ingredient_of
30,conceptual_part_of
31,contains
32,measurement_of
33,connected_to
34,method_of
35,surrounds
36,interconnects
37,analyzes
38,exhibits
39,co-occurs_with
40,developmental_form_of
41,derivative_of
42,manages
43,consists_of
44,conceptually_related_to
45,practices
