,relation
0,result_of
1,interacts_with
2,issue_in
3,causes
4,precedes
5,manifestation_of
6,process_of
7,affects
8,isa
9,evaluation_of
10,degree_of
11,measures
12,produces
13,assesses_effect_of
14,exhibits
15,treats
16,associated_with
17,location_of
18,developmental_form_of
19,occurs_in
20,property_of
21,diagnoses
22,part_of
23,uses
24,disrupts
25,analyzes
26,consists_of
27,method_of
28,surrounds
29,complicates
30,manages
31,indicates
32,performs
33,carries_out
34,prevents
35,co-occurs_with
36,ingredient_of
37,conceptual_part_of
38,measurement_of
39,connected_to
40,contains
41,adjacent_to
42,interconnects
43,conceptually_related_to
44,practices
45,derivative_of
