,relation
0,manifestation_of
1,property_of
2,measurement_of
3,location_of
4,complicates
5,part_of
6,result_of
7,associated_with
8,affects
9,issue_in
10,assesses_effect_of
11,interacts_with
12,isa
13,process_of
14,diagnoses
15,causes
16,performs
17,uses
18,degree_of
19,measures
20,disrupts
21,manages
22,co-occurs_with
23,prevents
24,carries_out
25,produces
26,evaluation_of
27,occurs_in
28,adjacent_to
29,precedes
30,indicates
31,conceptual_part_of
32,contains
33,treats
34,interconnects
35,ingredient_of
36,connected_to
37,method_of
38,surrounds
39,analyzes
40,exhibits
41,consists_of
42,derivative_of
43,developmental_form_of
44,conceptually_related_to
45,practices
