,relation
0,affects
1,contains
2,carries_out
3,result_of
4,manifestation_of
5,consists_of
6,practices
7,isa
8,derivative_of
9,evaluation_of
10,indicates
11,analyzes
12,measures
13,location_of
14,disrupts
15,property_of
16,uses
17,part_of
18,method_of
19,produces
20,exhibits
21,developmental_form_of
22,interconnects
23,treats
24,issue_in
25,complicates
26,co-occurs_with
27,surrounds
28,ingredient_of
29,assesses_effect_of
30,process_of
31,conceptual_part_of
32,manages
33,interacts_with
34,performs
35,associated_with
36,conceptually_related_to
37,measurement_of
38,prevents
39,adjacent_to
40,causes
41,occurs_in
42,degree_of
43,precedes
44,connected_to
45,diagnoses
