,relation
0,isa
1,causes
2,process_of
3,affects
4,produces
5,part_of
6,contains
7,result_of
8,issue_in
9,complicates
10,interacts_with
11,location_of
12,manifestation_of
13,disrupts
14,precedes
15,associated_with
16,occurs_in
17,evaluation_of
18,property_of
19,performs
20,exhibits
21,method_of
22,co-occurs_with
23,prevents
24,measurement_of
25,assesses_effect_of
26,diagnoses
27,degree_of
28,surrounds
29,conceptually_related_to
30,measures
31,manages
32,carries_out
33,consists_of
34,adjacent_to
35,indicates
36,treats
37,uses
38,ingredient_of
39,conceptual_part_of
40,connected_to
41,interconnects
42,analyzes
43,practices
44,developmental_form_of
45,derivative_of
