,relation
0,affects
1,manifestation_of
2,process_of
3,result_of
4,interacts_with
5,produces
6,evaluation_of
7,isa
8,uses
9,measurement_of
10,complicates
11,assesses_effect_of
12,causes
13,issue_in
14,measures
15,diagnoses
16,treats
17,associated_with
18,precedes
19,disrupts
20,analyzes
21,part_of
22,contains
23,location_of
24,performs
25,carries_out
26,conceptual_part_of
27,indicates
28,co-occurs_with
29,prevents
30,occurs_in
31,ingredient_of
32,developmental_form_of
33,adjacent_to
34,exhibits
35,surrounds
36,method_of
37,property_of
38,manages
39,degree_of
40,consists_of
41,practices
42,conceptually_related_to
43,interconnects
44,connected_to
45,derivative_of
