,relation
0,analyzes
1,contains
2,associated_with
3,prevents
4,produces
5,consists_of
6,surrounds
7,interconnects
8,process_of
9,indicates
10,occurs_in
11,interacts_with
12,co-occurs_with
13,developmental_form_of
14,affects
15,method_of
16,result_of
17,derivative_of
18,disrupts
19,adjacent_to
20,manifestation_of
21,complicates
22,causes
23,isa
24,treats
25,part_of
26,evaluation_of
27,exhibits
28,assesses_effect_of
29,location_of
30,conceptually_related_to
31,connected_to
32,uses
33,precedes
34,issue_in
35,measures
36,performs
37,conceptual_part_of
38,property_of
39,ingredient_of
40,manages
41,carries_out
42,degree_of
43,measurement_of
44,diagnoses
45,practices
