,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,affects
10,interacts_with
11,result_of
12,contains
13,co-occurs_with
14,measurement_of
15,measures
16,indicates
17,issue_in
18,diagnoses
19,conceptual_part_of
20,complicates
21,evaluation_of
22,occurs_in
23,method_of
24,associated_with
25,degree_of
26,manifestation_of
27,precedes
28,ingredient_of
29,analyzes
30,carries_out
31,assesses_effect_of
32,connected_to
33,uses
34,surrounds
35,treats
36,prevents
37,developmental_form_of
38,manages
39,practices
40,exhibits
41,derivative_of
42,consists_of
43,conceptually_related_to
44,adjacent_to
45,interconnects
