,relation
0,produces
1,co-occurs_with
2,causes
3,evaluation_of
4,associated_with
5,location_of
6,affects
7,isa
8,process_of
9,disrupts
10,issue_in
11,result_of
12,connected_to
13,uses
14,diagnoses
15,exhibits
16,interacts_with
17,indicates
18,analyzes
19,measures
20,property_of
21,complicates
22,occurs_in
23,manifestation_of
24,carries_out
25,assesses_effect_of
26,part_of
27,performs
28,prevents
29,adjacent_to
30,conceptual_part_of
31,measurement_of
32,treats
33,method_of
34,degree_of
35,precedes
36,ingredient_of
37,surrounds
38,developmental_form_of
39,consists_of
40,conceptually_related_to
41,contains
42,manages
43,derivative_of
44,practices
45,interconnects
