,relation
0,causes
1,location_of
2,associated_with
3,performs
4,complicates
5,interacts_with
6,process_of
7,property_of
8,result_of
9,issue_in
10,degree_of
11,isa
12,affects
13,measures
14,disrupts
15,part_of
16,manages
17,indicates
18,co-occurs_with
19,prevents
20,carries_out
21,produces
22,evaluation_of
23,manifestation_of
24,occurs_in
25,diagnoses
26,adjacent_to
27,precedes
28,developmental_form_of
29,assesses_effect_of
30,treats
31,analyzes
32,uses
33,ingredient_of
34,conceptual_part_of
35,contains
36,measurement_of
37,connected_to
38,method_of
39,surrounds
40,interconnects
41,exhibits
42,consists_of
43,conceptually_related_to
44,practices
45,derivative_of
