,relation
0,measures
1,associated_with
2,interacts_with
3,analyzes
4,evaluation_of
5,affects
6,performs
7,derivative_of
8,result_of
9,isa
10,degree_of
11,location_of
12,prevents
13,process_of
14,measurement_of
15,occurs_in
16,diagnoses
17,causes
18,manifestation_of
19,manages
20,produces
21,indicates
22,part_of
23,issue_in
24,complicates
25,connected_to
26,disrupts
27,uses
28,assesses_effect_of
29,precedes
30,treats
31,property_of
32,co-occurs_with
33,contains
34,exhibits
35,method_of
36,carries_out
37,adjacent_to
38,consists_of
39,ingredient_of
40,conceptual_part_of
41,surrounds
42,interconnects
43,practices
44,developmental_form_of
45,conceptually_related_to
