,relation
0,affects
1,assesses_effect_of
2,location_of
3,isa
4,carries_out
5,consists_of
6,manifestation_of
7,causes
8,complicates
9,co-occurs_with
10,diagnoses
11,method_of
12,interacts_with
13,uses
14,degree_of
15,analyzes
16,process_of
17,ingredient_of
18,measurement_of
19,indicates
20,property_of
21,disrupts
22,occurs_in
23,produces
24,practices
25,associated_with
26,result_of
27,performs
28,exhibits
29,evaluation_of
30,conceptual_part_of
31,adjacent_to
32,prevents
33,precedes
34,contains
35,measures
36,part_of
37,treats
38,developmental_form_of
39,issue_in
40,surrounds
41,conceptually_related_to
42,manages
43,derivative_of
44,interconnects
45,connected_to
