,relation
0,process_of
1,issue_in
2,measurement_of
3,measures
4,disrupts
5,affects
6,isa
7,location_of
8,connected_to
9,precedes
10,associated_with
11,treats
12,property_of
13,uses
14,result_of
15,interacts_with
16,produces
17,evaluation_of
18,causes
19,part_of
20,complicates
21,carries_out
22,contains
23,performs
24,method_of
25,surrounds
26,interconnects
27,analyzes
28,diagnoses
29,manifestation_of
30,exhibits
31,co-occurs_with
32,ingredient_of
33,occurs_in
34,prevents
35,assesses_effect_of
36,indicates
37,degree_of
38,manages
39,conceptual_part_of
40,derivative_of
41,practices
42,consists_of
43,adjacent_to
44,developmental_form_of
45,conceptually_related_to
