,relation
0,process_of
1,evaluation_of
2,location_of
3,diagnoses
4,issue_in
5,interacts_with
6,indicates
7,result_of
8,affects
9,associated_with
10,manifestation_of
11,isa
12,produces
13,method_of
14,part_of
15,co-occurs_with
16,prevents
17,uses
18,assesses_effect_of
19,causes
20,measurement_of
21,precedes
22,measures
23,complicates
24,performs
25,carries_out
26,disrupts
27,property_of
28,conceptually_related_to
29,derivative_of
30,analyzes
31,occurs_in
32,exhibits
33,manages
34,consists_of
35,ingredient_of
36,connected_to
37,treats
38,degree_of
39,conceptual_part_of
40,contains
41,adjacent_to
42,surrounds
43,developmental_form_of
44,practices
45,interconnects
