,relation
0,evaluation_of
1,affects
2,complicates
3,ingredient_of
4,process_of
5,derivative_of
6,manifestation_of
7,developmental_form_of
8,part_of
9,result_of
10,interacts_with
11,isa
12,produces
13,uses
14,issue_in
15,measures
16,causes
17,location_of
18,co-occurs_with
19,measurement_of
20,precedes
21,carries_out
22,disrupts
23,associated_with
24,prevents
25,assesses_effect_of
26,performs
27,conceptual_part_of
28,interconnects
29,degree_of
30,diagnoses
31,analyzes
32,property_of
33,exhibits
34,practices
35,method_of
36,treats
37,occurs_in
38,connected_to
39,indicates
40,consists_of
41,manages
42,surrounds
43,adjacent_to
44,contains
45,conceptually_related_to
