,relation
0,associated_with
1,affects
2,manifestation_of
3,property_of
4,measurement_of
5,location_of
6,complicates
7,part_of
8,result_of
9,issue_in
10,assesses_effect_of
11,interacts_with
12,isa
13,process_of
14,diagnoses
15,causes
16,performs
17,conceptually_related_to
18,degree_of
19,measures
20,disrupts
21,manages
22,co-occurs_with
23,prevents
24,carries_out
25,produces
26,evaluation_of
27,occurs_in
28,adjacent_to
29,precedes
30,indicates
31,ingredient_of
32,treats
33,exhibits
34,uses
35,conceptual_part_of
36,contains
37,connected_to
38,method_of
39,surrounds
40,interconnects
41,analyzes
42,consists_of
43,developmental_form_of
44,practices
45,derivative_of
