,relation
0,process_of
1,interacts_with
2,isa
3,produces
4,part_of
5,causes
6,affects
7,associated_with
8,disrupts
9,connected_to
10,result_of
11,location_of
12,indicates
13,complicates
14,measures
15,co-occurs_with
16,interconnects
17,property_of
18,manifestation_of
19,performs
20,evaluation_of
21,treats
22,diagnoses
23,issue_in
24,analyzes
25,measurement_of
26,conceptual_part_of
27,occurs_in
28,prevents
29,degree_of
30,practices
31,assesses_effect_of
32,precedes
33,derivative_of
34,carries_out
35,manages
36,ingredient_of
37,exhibits
38,uses
39,contains
40,method_of
41,surrounds
42,consists_of
43,developmental_form_of
44,adjacent_to
45,conceptually_related_to
