,relation
0,treats
1,contains
2,affects
3,adjacent_to
4,isa
5,result_of
6,produces
7,measures
8,precedes
9,complicates
10,causes
11,analyzes
12,process_of
13,disrupts
14,performs
15,diagnoses
16,manifestation_of
17,part_of
18,interacts_with
19,exhibits
20,location_of
21,issue_in
22,associated_with
23,property_of
24,method_of
25,occurs_in
26,evaluation_of
27,co-occurs_with
28,carries_out
29,assesses_effect_of
30,conceptual_part_of
31,uses
32,manages
33,measurement_of
34,surrounds
35,degree_of
36,derivative_of
37,ingredient_of
38,indicates
39,connected_to
40,prevents
41,consists_of
42,interconnects
43,developmental_form_of
44,conceptually_related_to
45,practices
