,relation
0,affects
1,produces
2,process_of
3,issue_in
4,assesses_effect_of
5,interacts_with
6,result_of
7,carries_out
8,complicates
9,precedes
10,disrupts
11,prevents
12,performs
13,co-occurs_with
14,associated_with
15,measures
16,manifestation_of
17,location_of
18,indicates
19,isa
20,ingredient_of
21,causes
22,contains
23,surrounds
24,degree_of
25,part_of
26,analyzes
27,uses
28,property_of
29,evaluation_of
30,measurement_of
31,diagnoses
32,interconnects
33,treats
34,method_of
35,connected_to
36,conceptual_part_of
37,conceptually_related_to
38,occurs_in
39,adjacent_to
40,manages
41,consists_of
42,exhibits
43,derivative_of
44,practices
45,developmental_form_of
