,relation
0,location_of
1,degree_of
2,complicates
3,process_of
4,causes
5,associated_with
6,affects
7,issue_in
8,carries_out
9,measures
10,manages
11,part_of
12,assesses_effect_of
13,property_of
14,manifestation_of
15,measurement_of
16,uses
17,diagnoses
18,occurs_in
19,isa
20,result_of
21,prevents
22,interacts_with
23,disrupts
24,produces
25,treats
26,performs
27,co-occurs_with
28,evaluation_of
29,exhibits
30,precedes
31,contains
32,indicates
33,method_of
34,surrounds
35,interconnects
36,analyzes
37,consists_of
38,adjacent_to
39,conceptual_part_of
40,connected_to
41,developmental_form_of
42,ingredient_of
43,practices
44,derivative_of
45,conceptually_related_to
