,relation
0,process_of
1,occurs_in
2,affects
3,produces
4,causes
5,degree_of
6,result_of
7,treats
8,issue_in
9,associated_with
10,practices
11,location_of
12,isa
13,interacts_with
14,evaluation_of
15,performs
16,measurement_of
17,indicates
18,property_of
19,measures
20,manifestation_of
21,conceptual_part_of
22,complicates
23,precedes
24,surrounds
25,analyzes
26,disrupts
27,assesses_effect_of
28,prevents
29,co-occurs_with
30,uses
31,consists_of
32,method_of
33,contains
34,ingredient_of
35,part_of
36,exhibits
37,manages
38,adjacent_to
39,diagnoses
40,derivative_of
41,carries_out
42,developmental_form_of
43,connected_to
44,conceptually_related_to
45,interconnects
