,relation
0,affects
1,manifestation_of
2,location_of
3,result_of
4,causes
5,complicates
6,disrupts
7,interacts_with
8,isa
9,analyzes
10,process_of
11,contains
12,part_of
13,issue_in
14,produces
15,precedes
16,associated_with
17,indicates
18,occurs_in
19,measures
20,performs
21,measurement_of
22,uses
23,assesses_effect_of
24,method_of
25,degree_of
26,exhibits
27,co-occurs_with
28,prevents
29,carries_out
30,property_of
31,evaluation_of
32,diagnoses
33,ingredient_of
34,manages
35,adjacent_to
36,treats
37,conceptual_part_of
38,developmental_form_of
39,consists_of
40,surrounds
41,derivative_of
42,interconnects
43,connected_to
44,conceptually_related_to
45,practices
