,relation
0,process_of
1,evaluation_of
2,location_of
3,diagnoses
4,issue_in
5,interacts_with
6,indicates
7,result_of
8,affects
9,associated_with
10,manifestation_of
11,isa
12,produces
13,method_of
14,part_of
15,co-occurs_with
16,prevents
17,uses
18,assesses_effect_of
19,causes
20,measurement_of
21,exhibits
22,precedes
23,measures
24,complicates
25,performs
26,carries_out
27,disrupts
28,property_of
29,conceptually_related_to
30,analyzes
31,occurs_in
32,consists_of
33,ingredient_of
34,connected_to
35,treats
36,manages
37,degree_of
38,conceptual_part_of
39,contains
40,adjacent_to
41,surrounds
42,developmental_form_of
43,practices
44,derivative_of
45,interconnects
