,relation
0,produces
1,manifestation_of
2,isa
3,interacts_with
4,issue_in
5,location_of
6,process_of
7,affects
8,complicates
9,prevents
10,manages
11,evaluation_of
12,associated_with
13,measures
14,disrupts
15,performs
16,part_of
17,causes
18,result_of
19,occurs_in
20,ingredient_of
21,precedes
22,uses
23,diagnoses
24,surrounds
25,contains
26,indicates
27,consists_of
28,exhibits
29,degree_of
30,practices
31,connected_to
32,treats
33,co-occurs_with
34,assesses_effect_of
35,analyzes
36,carries_out
37,method_of
38,measurement_of
39,conceptual_part_of
40,property_of
41,developmental_form_of
42,adjacent_to
43,conceptually_related_to
44,interconnects
45,derivative_of
