,relation
0,property_of
1,assesses_effect_of
2,disrupts
3,produces
4,affects
5,exhibits
6,consists_of
7,manages
8,isa
9,practices
10,measures
11,indicates
12,result_of
13,associated_with
14,interconnects
15,causes
16,interacts_with
17,measurement_of
18,treats
19,evaluation_of
20,occurs_in
21,precedes
22,complicates
23,surrounds
24,issue_in
25,diagnoses
26,part_of
27,analyzes
28,derivative_of
29,developmental_form_of
30,conceptual_part_of
31,manifestation_of
32,prevents
33,carries_out
34,performs
35,uses
36,process_of
37,method_of
38,conceptually_related_to
39,location_of
40,degree_of
41,contains
42,connected_to
43,co-occurs_with
44,adjacent_to
45,ingredient_of
