,entity
0,neuroreactive_substance_or_biogenic_amine
1,indicator_reagent_or_diagnostic_aid
2,organism_attribute
3,functional_concept
4,carbohydrate
5,body_substance
6,vitamin
7,idea_or_concept
8,social_behavior
9,cell_function
10,medical_device
11,quantitative_concept
12,body_system
13,entity
14,behavior
15,geographic_area
16,gene_or_genome
17,body_location_or_region
18,body_part_organ_or_organ_component
19,laboratory_procedure
20,molecular_function
21,neoplastic_process
22,pharmacologic_substance
23,cell_or_molecular_dysfunction
24,animal
25,regulation_or_law
26,organism_function
27,drug_delivery_device
28,molecular_sequence
29,organism
30,professional_society
31,experimental_model_of_disease
32,finding
33,plant
34,cell
35,machine_activity
36,biologically_active_substance
37,molecular_biology_research_technique
38,eicosanoid
39,congenital_abnormality
40,sign_or_symptom
41,educational_activity
42,qualitative_concept
43,therapeutic_or_preventive_procedure
44,cell_component
45,injury_or_poisoning
46,antibiotic
47,individual_behavior
48,bird
49,tissue
50,patient_or_disabled_group
51,self_help_or_relief_organization
52,food
53,physical_object
54,anatomical_abnormality
55,spatial_concept
56,phenomenon_or_process
57,clinical_drug
58,pathologic_function
59,group_attribute
60,steroid
61,biologic_function
62,amino_acid_sequence
63,population_group
64,bacterium
65,mental_process
66,inorganic_chemical
67,age_group
68,fully_formed_anatomical_structure
69,health_care_related_organization
70,natural_phenomenon_or_process
71,virus
72,diagnostic_procedure
73,alga
74,embryonic_structure
75,activity
76,professional_or_occupational_group
77,biomedical_occupation_or_discipline
78,fungus
79,organ_or_tissue_function
80,substance
81,occupational_activity
82,enzyme
83,nucleic_acid_nucleoside_or_nucleotide
84,acquired_abnormality
85,family_group
86,genetic_function
87,physiologic_function
88,lipid
89,research_activity
90,hazardous_or_poisonous_substance
91,invertebrate
92,mammal
93,carbohydrate_sequence
94,conceptual_entity
95,temporal_concept
96,chemical_viewed_functionally
97,amphibian
98,disease_or_syndrome
99,fish
100,organic_chemical
101,vertebrate
102,manufactured_object
103,organophosphorus_compound
104,nucleotide_sequence
105,biomedical_or_dental_material
106,body_space_or_junction
107,research_device
108,human
109,group
110,environmental_effect_of_humans
111,organization
112,receptor
113,immunologic_factor
114,classification
115,rickettsia_or_chlamydia
116,laboratory_or_test_result
117,hormone
118,anatomical_structure
119,chemical_viewed_structurally
120,element_ion_or_isotope
121,language
122,mental_or_behavioral_dysfunction
123,health_care_activity
124,governmental_or_regulatory_activity
125,human_caused_phenomenon_or_process
126,intellectual_product
127,archaeon
128,daily_or_recreational_activity
129,amino_acid_peptide_or_protein
130,clinical_attribute
131,event
132,occupation_or_discipline
133,chemical
134,reptile
