,relation
0,complicates
1,adjacent_to
2,measurement_of
3,result_of
4,causes
5,surrounds
6,process_of
7,degree_of
8,measures
9,affects
10,indicates
11,precedes
12,developmental_form_of
13,associated_with
14,consists_of
15,carries_out
16,issue_in
17,property_of
18,isa
19,disrupts
20,contains
21,interacts_with
22,interconnects
23,location_of
24,connected_to
25,method_of
26,manifestation_of
27,assesses_effect_of
28,part_of
29,uses
30,practices
31,conceptually_related_to
32,ingredient_of
33,treats
34,performs
35,exhibits
36,conceptual_part_of
37,co-occurs_with
38,evaluation_of
39,produces
40,occurs_in
41,diagnoses
42,derivative_of
43,analyzes
44,prevents
45,manages
