,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,analyzes
10,affects
11,interacts_with
12,result_of
13,contains
14,co-occurs_with
15,measurement_of
16,measures
17,indicates
18,issue_in
19,diagnoses
20,conceptual_part_of
21,complicates
22,evaluation_of
23,occurs_in
24,method_of
25,associated_with
26,degree_of
27,adjacent_to
28,precedes
29,ingredient_of
30,manifestation_of
31,carries_out
32,assesses_effect_of
33,prevents
34,surrounds
35,uses
36,manages
37,exhibits
38,practices
39,connected_to
40,treats
41,developmental_form_of
42,consists_of
43,conceptually_related_to
44,interconnects
45,derivative_of
