,relation
0,interacts_with
1,precedes
2,issue_in
3,treats
4,affects
5,causes
6,isa
7,produces
8,manifestation_of
9,associated_with
10,practices
11,result_of
12,evaluation_of
13,connected_to
14,location_of
15,developmental_form_of
16,complicates
17,measurement_of
18,ingredient_of
19,process_of
20,property_of
21,conceptual_part_of
22,measures
23,part_of
24,performs
25,occurs_in
26,uses
27,disrupts
28,assesses_effect_of
29,co-occurs_with
30,diagnoses
31,exhibits
32,degree_of
33,contains
34,prevents
35,analyzes
36,indicates
37,carries_out
38,interconnects
39,manages
40,surrounds
41,consists_of
42,conceptually_related_to
43,adjacent_to
44,method_of
45,derivative_of
