,relation
0,property_of
1,result_of
2,location_of
3,produces
4,affects
5,complicates
6,performs
7,disrupts
8,exhibits
9,method_of
10,interacts_with
11,isa
12,associated_with
13,part_of
14,co-occurs_with
15,process_of
16,occurs_in
17,evaluation_of
18,causes
19,manifestation_of
20,measurement_of
21,issue_in
22,uses
23,assesses_effect_of
24,diagnoses
25,degree_of
26,measures
27,manages
28,prevents
29,carries_out
30,adjacent_to
31,precedes
32,indicates
33,consists_of
34,treats
35,ingredient_of
36,conceptual_part_of
37,contains
38,connected_to
39,surrounds
40,interconnects
41,analyzes
42,developmental_form_of
43,conceptually_related_to
44,practices
45,derivative_of
