,entity
0,enzyme
1,congenital_abnormality
2,body_substance
3,invertebrate
4,biologic_function
5,mental_or_behavioral_dysfunction
6,biomedical_or_dental_material
7,virus
8,molecular_function
9,organic_chemical
10,animal
11,organism_function
12,carbohydrate
13,eicosanoid
14,family_group
15,anatomical_abnormality
16,nucleic_acid_nucleoside_or_nucleotide
17,hazardous_or_poisonous_substance
18,neoplastic_process
19,steroid
20,self_help_or_relief_organization
21,laboratory_procedure
22,food
23,lipid
24,antibiotic
25,experimental_model_of_disease
26,disease_or_syndrome
27,pathologic_function
28,gene_or_genome
29,bacterium
30,cell_or_molecular_dysfunction
31,vitamin
32,pharmacologic_substance
33,fish
34,biologically_active_substance
35,mental_process
36,drug_delivery_device
37,organophosphorus_compound
38,organ_or_tissue_function
39,environmental_effect_of_humans
40,cell
41,health_care_related_organization
42,alga
43,amino_acid_peptide_or_protein
44,acquired_abnormality
45,clinical_attribute
46,bird
47,sign_or_symptom
48,immunologic_factor
49,entity
50,amphibian
51,embryonic_structure
52,genetic_function
53,chemical
54,hormone
55,body_space_or_junction
56,intellectual_product
57,neuroreactive_substance_or_biogenic_amine
58,anatomical_structure
59,natural_phenomenon_or_process
60,health_care_activity
61,rickettsia_or_chlamydia
62,population_group
63,fully_formed_anatomical_structure
64,organism_attribute
65,qualitative_concept
66,physiologic_function
67,indicator_reagent_or_diagnostic_aid
68,professional_or_occupational_group
69,medical_device
70,research_activity
71,laboratory_or_test_result
72,social_behavior
73,receptor
74,inorganic_chemical
75,cell_component
76,organism
77,regulation_or_law
78,chemical_viewed_structurally
79,quantitative_concept
80,injury_or_poisoning
81,tissue
82,behavior
83,clinical_drug
84,age_group
85,diagnostic_procedure
86,cell_function
87,human
88,molecular_biology_research_technique
89,fungus
90,finding
91,individual_behavior
92,temporal_concept
93,professional_society
94,body_location_or_region
95,geographic_area
96,group_attribute
97,therapeutic_or_preventive_procedure
98,phenomenon_or_process
99,nucleotide_sequence
100,organization
101,element_ion_or_isotope
102,plant
103,occupational_activity
104,research_device
105,body_part_organ_or_organ_component
106,vertebrate
107,archaeon
108,chemical_viewed_functionally
109,educational_activity
110,patient_or_disabled_group
111,governmental_or_regulatory_activity
112,substance
113,activity
114,reptile
115,functional_concept
116,conceptual_entity
117,group
118,occupation_or_discipline
119,language
120,classification
121,body_system
122,mammal
123,manufactured_object
124,human_caused_phenomenon_or_process
125,spatial_concept
126,idea_or_concept
127,molecular_sequence
128,machine_activity
129,physical_object
130,amino_acid_sequence
131,daily_or_recreational_activity
132,biomedical_occupation_or_discipline
133,carbohydrate_sequence
134,event
