,relation
0,causes
1,affects
2,isa
3,produces
4,co-occurs_with
5,interacts_with
6,location_of
7,process_of
8,ingredient_of
9,result_of
10,part_of
11,complicates
12,carries_out
13,associated_with
14,disrupts
15,manifestation_of
16,diagnoses
17,measures
18,precedes
19,occurs_in
20,property_of
21,issue_in
22,prevents
23,performs
24,assesses_effect_of
25,measurement_of
26,indicates
27,contains
28,degree_of
29,uses
30,evaluation_of
31,method_of
32,treats
33,adjacent_to
34,connected_to
35,conceptual_part_of
36,conceptually_related_to
37,analyzes
38,manages
39,interconnects
40,surrounds
41,exhibits
42,consists_of
43,developmental_form_of
44,practices
45,derivative_of
