,entity
0,diagnostic_procedure
1,sign_or_symptom
2,age_group
3,genetic_function
4,group
5,neoplastic_process
6,molecular_function
7,governmental_or_regulatory_activity
8,population_group
9,biomedical_or_dental_material
10,natural_phenomenon_or_process
11,amino_acid_peptide_or_protein
12,clinical_attribute
13,chemical_viewed_functionally
14,disease_or_syndrome
15,organism_function
16,regulation_or_law
17,organ_or_tissue_function
18,body_part_organ_or_organ_component
19,receptor
20,medical_device
21,geographic_area
22,mental_process
23,laboratory_procedure
24,organism_attribute
25,neuroreactive_substance_or_biogenic_amine
26,organic_chemical
27,cell_or_molecular_dysfunction
28,enzyme
29,element_ion_or_isotope
30,qualitative_concept
31,research_device
32,hazardous_or_poisonous_substance
33,patient_or_disabled_group
34,experimental_model_of_disease
35,eicosanoid
36,vitamin
37,physiologic_function
38,body_location_or_region
39,acquired_abnormality
40,virus
41,injury_or_poisoning
42,mental_or_behavioral_dysfunction
43,research_activity
44,antibiotic
45,pharmacologic_substance
46,anatomical_abnormality
47,body_system
48,cell_function
49,mammal
50,organism
51,body_substance
52,gene_or_genome
53,bird
54,steroid
55,health_care_related_organization
56,animal
57,food
58,finding
59,bacterium
60,body_space_or_junction
61,congenital_abnormality
62,alga
63,anatomical_structure
64,pathologic_function
65,health_care_activity
66,cell
67,inorganic_chemical
68,tissue
69,individual_behavior
70,plant
71,biologically_active_substance
72,therapeutic_or_preventive_procedure
73,chemical_viewed_structurally
74,lipid
75,reptile
76,professional_society
77,hormone
78,carbohydrate
79,immunologic_factor
80,biologic_function
81,phenomenon_or_process
82,organophosphorus_compound
83,professional_or_occupational_group
84,cell_component
85,family_group
86,nucleic_acid_nucleoside_or_nucleotide
87,social_behavior
88,molecular_biology_research_technique
89,temporal_concept
90,self_help_or_relief_organization
91,molecular_sequence
92,vertebrate
93,substance
94,invertebrate
95,chemical
96,occupational_activity
97,laboratory_or_test_result
98,fully_formed_anatomical_structure
99,machine_activity
100,embryonic_structure
101,daily_or_recreational_activity
102,behavior
103,indicator_reagent_or_diagnostic_aid
104,manufactured_object
105,entity
106,biomedical_occupation_or_discipline
107,educational_activity
108,amino_acid_sequence
109,fungus
110,organization
111,group_attribute
112,archaeon
113,rickettsia_or_chlamydia
114,language
115,drug_delivery_device
116,fish
117,human
118,environmental_effect_of_humans
119,amphibian
120,idea_or_concept
121,clinical_drug
122,quantitative_concept
123,activity
124,intellectual_product
125,conceptual_entity
126,carbohydrate_sequence
127,functional_concept
128,human_caused_phenomenon_or_process
129,occupation_or_discipline
130,nucleotide_sequence
131,classification
132,physical_object
133,spatial_concept
134,event
